Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
1.6757812500000e+000	         9.10619
1.6796875000000e+000	        9.044918
1.6835937500000e+000	        8.149609
1.6875000000000e+000	        6.148352
1.6914062500000e+000	        3.240658
1.6953125000000e+000	       0.2040849
1.6992187500000e+000	       -2.711539
1.7031250000000e+000	       -5.562456
1.7070312500000e+000	       -7.535728
1.7109375000000e+000	       -8.735505
1.7148437500000e+000	        -8.76786
1.7187500000000e+000	       -8.027135
1.7226562500000e+000	       -6.137693
1.7265625000000e+000	       -3.246283
1.7304687500000e+000	      -0.2484796
1.7343750000000e+000	        2.746511
1.7382812500000e+000	        5.403044
1.7421875000000e+000	        7.745027
1.7460937500000e+000	        8.846496
1.7500000000000e+000	         8.90909
1.7539062500000e+000	        8.129005
1.7578125000000e+000	        6.303642
1.7617187500000e+000	        3.506098
1.7656250000000e+000	       0.5141253
1.7695312500000e+000	       -2.345097
1.7734375000000e+000	       -5.213606
1.7773437500000e+000	       -7.209367
1.7812500000000e+000	       -8.514066
1.7851562500000e+000	       -8.628281
1.7890625000000e+000	       -8.000811
1.7929687500000e+000	       -6.247732
1.7968750000000e+000	       -3.475854
1.8007812500000e+000	      -0.5178944
1.8046875000000e+000	        2.396082
1.8085937500000e+000	        5.038179
1.8125000000000e+000	        7.410205
1.8164062500000e+000	        8.662462
1.8203125000000e+000	        8.770313
1.8242187500000e+000	        8.128924
1.8281250000000e+000	        6.416228
1.8320312500000e+000	        3.773091
1.8359375000000e+000	       0.8160075
1.8398437500000e+000	        -1.96069
1.8437500000000e+000	       -4.847305
1.8476562500000e+000	       -6.892939
1.8515625000000e+000	       -8.242838
1.8554687500000e+000	       -8.475109
1.8593750000000e+000	       -7.943369
1.8632812500000e+000	       -6.369318
1.8671875000000e+000	       -3.732005
1.8710937500000e+000	      -0.8164861
1.8750000000000e+000	        2.070158
1.8789062500000e+000	        4.709339
1.8828125000000e+000	        7.079099
1.8867187500000e+000	        8.442291
1.8906250000000e+000	        8.626829
1.8945312500000e+000	        8.093626
1.8984375000000e+000	        6.518234
1.9023437500000e+000	        4.010827
1.9062500000000e+000	        1.066779
1.9101562500000e+000	       -1.655984
1.9140625000000e+000	       -4.513792
1.9179687500000e+000	       -6.609941
1.9218750000000e+000	       -8.026483
1.9257812500000e+000	       -8.362912
1.9296875000000e+000	       -7.898646
1.9335937500000e+000	       -6.489084
1.9375000000000e+000	       -3.941271
1.9414062500000e+000	       -1.095529
1.9453125000000e+000	        1.759735
1.9492187500000e+000	        4.370247
1.9531250000000e+000	        6.741547
1.9570312500000e+000	        8.231188
1.9609375000000e+000	        8.495206
1.9648437500000e+000	        8.092484
1.9687500000000e+000	        6.619821
1.9726562500000e+000	        4.258057
1.9765625000000e+000	        1.351449
1.9804687500000e+000	       -1.312077
1.9843750000000e+000	       -4.168869
1.9882812500000e+000	       -6.297825
1.9921875000000e+000	       -7.764672
1.9960937500000e+000	       -8.181806
2.0000000000000e+000	       -7.827315
2.0039062500000e+000	       -6.568207
2.0078125000000e+000	       -4.162735
2.0117187500000e+000	       -1.375003
2.0156250000000e+000	        1.439931
2.0195312500000e+000	        4.050082
2.0234375000000e+000	        6.400788
2.0273437500000e+000	        8.019733
2.0312500000000e+000	        8.357357
2.0351562500000e+000	        8.028876
2.0390625000000e+000	        6.693591
2.0429687500000e+000	        4.465272
2.0468750000000e+000	        1.601401
2.0507812500000e+000	       -1.014012
2.0546875000000e+000	        -3.82654
2.0585937500000e+000	        -6.01458
2.0625000000000e+000	       -7.541987
2.0664062500000e+000	       -8.081325
2.0703125000000e+000	       -7.780702
2.0742187500000e+000	       -6.652335
2.0781250000000e+000	       -4.351249
2.0820312500000e+000	       -1.629756
2.0859375000000e+000	        1.121352
2.0898437500000e+000	        3.726973
2.0937500000000e+000	        6.080236
2.0976562500000e+000	        7.786846
2.1015625000000e+000	         8.20791
2.1054687500000e+000	        7.996732
2.1093750000000e+000	        6.772041
2.1132812500000e+000	        4.680339
2.1171875000000e+000	        1.886929
2.1210937500000e+000	      -0.6708585
2.1250000000000e+000	       -3.476139
2.1289062500000e+000	       -5.720919
2.1328125000000e+000	       -7.275297
2.1367187500000e+000	       -7.904018
2.1406250000000e+000	       -7.679979
2.1445312500000e+000	       -6.698453
2.1484375000000e+000	       -4.541611
2.1523437500000e+000	       -1.887382
2.1562500000000e+000	       0.8303599
2.1601562500000e+000	        3.430785
2.1640625000000e+000	        5.753449
2.1679687500000e+000	        7.549635
2.1718750000000e+000	        8.062825
2.1757812500000e+000	        7.922023
2.1796875000000e+000	        6.825936
2.1835937500000e+000	        4.865173
2.1875000000000e+000	         2.15015
2.1914062500000e+000	      -0.4017072
2.1953125000000e+000	       -3.139429
2.1992187500000e+000	       -5.421781
2.2031250000000e+000	       -7.020769
2.2070312500000e+000	       -7.761356
2.2109375000000e+000	       -7.604151
2.2148437500000e+000	       -6.738408
2.2187500000000e+000	       -4.718103
2.2226562500000e+000	       -2.099527
2.2265625000000e+000	       0.5383801
2.2304687500000e+000	        3.122999
2.2343750000000e+000	        5.428588
2.2382812500000e+000	        7.295056
2.2421875000000e+000	        7.907287
2.2460937500000e+000	        7.868496
2.2500000000000e+000	        6.867693
2.2539062500000e+000	        5.048742
2.2578125000000e+000	        2.401683
2.2617187500000e+000	      -0.1048025
2.2656250000000e+000	       -2.786251
2.2695312500000e+000	       -5.124996
2.2734375000000e+000	       -6.767833
2.2773437500000e+000	       -7.587356
2.2812500000000e+000	       -7.491671
2.2851562500000e+000	       -6.752286
2.2890625000000e+000	       -4.871397
2.2929687500000e+000	       -2.356732
2.2968750000000e+000	       0.2586868
2.3007812500000e+000	        2.814708
2.3046875000000e+000	        5.115201
2.3085937500000e+000	        7.027085
2.3125000000000e+000	        7.737282
2.3164062500000e+000	        7.767413
2.3203125000000e+000	        6.886915
2.3242187500000e+000	        5.169586
2.3281250000000e+000	        2.625637
2.3320312500000e+000	       0.1390436
2.3359375000000e+000	       -2.481329
2.3398437500000e+000	        -4.85064
2.3437500000000e+000	       -6.515266
2.3476562500000e+000	       -7.420981
2.3515625000000e+000	       -7.415728
2.3554687500000e+000	       -6.752468
